molecule_chembl_id,canonical_smiles,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2180985,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCc3ccc(CN4C(=O)[C@@H]5CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NC[C@@H]4C(=O)N5)cc3)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,8.698970004336019,active,1566.6389999999994,-0.07753000000002341,13.0,24.0
CHEMBL2180984,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCc3ccc(CN4C(=O)[C@H]5CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NC[C@H]4C(=O)N5)cc3)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,8.638272163982407,active,1566.6389999999994,-0.07753000000002341,13.0,24.0
CHEMBL215032,COC(=O)c1cc(NC(=O)c2cc(NC(=O)CCCOc3cc4c(cc3OC)C(=O)N3CCC[C@H]3C=N4)cn2C)cn1C,8.619788758288394,active,590.6370000000003,3.5293000000000028,2.0,10.0
CHEMBL4280973,COc1cc(CCN)c2c(c1OC)SS[S+]2[O-],8.619788758288394,active,291.41900000000004,1.9815,1.0,6.0
CHEMBL2180982,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCc3ccc(CN4C(=O)[C@@H]5CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)C[C@@H]4C(=O)N5)cc3)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,8.602059991327963,active,1566.639,-0.07753000000002341,13.0,24.0
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,8.559248299520814,active,348.35800000000006,2.0796,1.0,6.0
CHEMBL1771376,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(N)c2)c(OC)c1,8.522878745280337,active,393.4610000000002,2.8889000000000005,1.0,7.0
CHEMBL4527861,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ncnc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,8.522878745280337,active,578.0480000000001,4.390720000000004,1.0,9.0
CHEMBL4578214,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C(C)C)ccnc3C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,8.522878745280337,active,577.0600000000001,4.995720000000005,1.0,8.0
CHEMBL217089,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@@H]2NCO[C@@H]2[C@H](C)O1,8.500038134403809,active,555.5360000000004,0.6275999999999993,5.0,12.0
