molecule_chembl_id,target_chembl_id,canonical_smiles,pIC50,bioactivity_class
CHEMBL3952388,CHEMBL1957,COc1cc(C(=O)N(C)CCN(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.823908740944319,1
CHEMBL3891732,CHEMBL1957,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2Cc2cccc(-c4cnn(C)c4)c2)CC3)n1,9.795880017344075,1
CHEMBL3928015,CHEMBL1957,COCCN1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(-c5cnn(C)c5)cc3)CC4)cn2)CC1,9.795880017344075,1
CHEMBL3969767,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCO)c4)cc2)CC3)n1,9.795880017344075,1
CHEMBL3967200,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCCO)n5)nc3-4)cc2)cn1,9.795880017344075,1
CHEMBL3985256,CHEMBL1957,COc1cc(C(=O)N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.795880017344075,1
CHEMBL3940776,CHEMBL1957,COc1cc(C(=O)NCC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.795880017344075,1
CHEMBL3906800,CHEMBL1957,CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C5CCNCC5)c4)cc2)CC3)n1,9.795880017344075,1
CHEMBL3950693,CHEMBL1957,COCCN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3cccc(-c5cnn(C)c5)c3)CC4)c(OC)c2)CC1,9.795880017344075,1
CHEMBL3977626,CHEMBL1957,CCn1cc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)cn1,9.795880017344075,1
CHEMBL3930224,CHEMBL1957,CN1CCN(CCn2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3Cc3cccc(-c5cnn(C)c5)c3)CC4)n2)CC1,9.769551078621726,1
CHEMBL3985755,CHEMBL1957,COc1cc(C(=O)NCCN(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(-c3cnn(C)c3)c1)CC2,9.769551078621726,1
CHEMBL3959576,CHEMBL1957,COc1cc(C(=O)N(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.769551078621726,1
CHEMBL3962155,CHEMBL1957,Cn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCN6CCOCC6)n5)nc3-4)cc2)cn1,9.769551078621726,1
CHEMBL3982422,CHEMBL1957,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(-c5cnn(C(C)C)c5)cc3)CC4)cn2)CC1,9.769551078621726,1
CHEMBL3652826,CHEMBL1957,COc1cc(OCCN2CCCC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.744727494896694,1
CHEMBL3904495,CHEMBL1957,CCn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccn(CCN(C)C)n5)nc3-4)cc2)cn1,9.744727494896694,1
CHEMBL3956581,CHEMBL1957,CNC(=O)c1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C)c4)cc2)CC3)c(OC)c1,9.744727494896694,1
CHEMBL3656563,CHEMBL1957,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2C,9.721246399047171,1
CHEMBL3983444,CHEMBL1957,COc1cc(C(=O)NC2CN(C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccc(-c3cnn(C)c3)cc1)CC2,9.721246399047171,1
CHEMBL3656576,CHEMBL1957,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1Cl)CC2,9.721246399047171,1
CHEMBL3911240,CHEMBL1957,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(C(C)C)c4)cc2)CC3)n1,9.721246399047171,1
CHEMBL3656637,CHEMBL1957,COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(Cl)cc2)CC3)n1,9.698970004336019,1
CHEMBL463931,CHEMBL1957,COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2(C)C,9.698970004336019,1
CHEMBL3656635,CHEMBL1957,CC(=O)N1CCC(n2cc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3sccc3Cl)CC4)cn2)CC1,9.698970004336019,1
CHEMBL3912872,CHEMBL1957,CN(C)CCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccc(-c4cnn(CCO)c4)cc2)CC3)n1,9.698970004336019,1
CHEMBL3957098,CHEMBL1957,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(-c3cnn(C)c3)c1)CC2,9.698970004336019,1
