molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value_nM
CHEMBL63786,CHEMBL203,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,0.003
CHEMBL53711,CHEMBL203,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.006
CHEMBL35820,CHEMBL203,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,0.006
CHEMBL53753,CHEMBL203,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.008
CHEMBL66031,CHEMBL203,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,0.008
CHEMBL176582,CHEMBL203,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,0.01
CHEMBL174426,CHEMBL203,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,0.025
CHEMBL29197,CHEMBL203,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,0.025
CHEMBL1243316,CHEMBL203,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,0.03
CHEMBL363815,CHEMBL203,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.037000000000000005
CHEMBL3613702,CHEMBL203,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,0.037000000000000005
CHEMBL4521381,CHEMBL203,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,0.043
CHEMBL275762,CHEMBL203,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.07
CHEMBL4103912,CHEMBL203,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C,0.07
CHEMBL327307,CHEMBL203,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,0.07200000000000001
CHEMBL328106,CHEMBL203,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,0.07244
CHEMBL3545154,CHEMBL203,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,0.078
CHEMBL285063,CHEMBL203,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.08
CHEMBL180022,CHEMBL203,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0.08
CHEMBL53428,CHEMBL203,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.08913
CHEMBL420624,CHEMBL203,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,0.1
CHEMBL55729,CHEMBL203,Nc1ccc2cncnc2c1,0.1
CHEMBL939,CHEMBL203,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.1
CHEMBL188762,CHEMBL203,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.1
CHEMBL190094,CHEMBL203,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,0.11
CHEMBL328216,CHEMBL203,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,0.12
CHEMBL193160,CHEMBL203,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,0.12
CHEMBL3930620,CHEMBL203,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,0.12
CHEMBL54400,CHEMBL203,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.1288
CHEMBL51853,CHEMBL203,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.13
CHEMBL3892310,CHEMBL203,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,0.13
CHEMBL4559807,CHEMBL203,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3OC)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,0.145
CHEMBL490496,CHEMBL203,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,0.1585
CHEMBL3357641,CHEMBL203,CN(C)C/C=C(\F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.16
CHEMBL417478,CHEMBL203,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,0.16
CHEMBL491083,CHEMBL203,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.1698
CHEMBL418967,CHEMBL203,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,0.17
CHEMBL93032,CHEMBL203,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,0.17
CHEMBL334697,CHEMBL203,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.17
CHEMBL592617,CHEMBL203,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.17
CHEMBL3357637,CHEMBL203,CCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,0.18
CHEMBL2031302,CHEMBL203,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,0.18
CHEMBL3910697,CHEMBL203,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)cc3)nn21,0.18
CHEMBL166093,CHEMBL203,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.18
CHEMBL166154,CHEMBL203,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,0.19
CHEMBL1173655,CHEMBL203,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,0.19
CHEMBL165864,CHEMBL203,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.19
CHEMBL553,CHEMBL203,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.2
CHEMBL3357634,CHEMBL203,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,0.2
CHEMBL3753235,CHEMBL203,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.2
CHEMBL91867,CHEMBL203,CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.2
CHEMBL437879,CHEMBL203,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,0.208
CHEMBL4514452,CHEMBL203,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](C)c4ccccc4)c23)c1,0.214
CHEMBL4439982,CHEMBL203,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccc([N+](=O)[O-])cc1.[Br-],0.22
CHEMBL4516232,CHEMBL203,Cn1ncc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],0.22
CHEMBL4560430,CHEMBL203,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],0.22
CHEMBL4540138,CHEMBL203,Cn1c(C[N+](C)(C)C/C=C/C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)ccc1[N+](=O)[O-].[Br-],0.22
CHEMBL4473277,CHEMBL203,Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],0.22
CHEMBL94061,CHEMBL203,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.22
CHEMBL161956,CHEMBL203,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.22
CHEMBL4527121,CHEMBL203,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccccc1[N+](=O)[O-].[Br-],0.22
CHEMBL2031300,CHEMBL203,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,0.23
CHEMBL127041,CHEMBL203,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.2399
CHEMBL316064,CHEMBL203,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,0.24
CHEMBL607707,CHEMBL203,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0.24
CHEMBL270696,CHEMBL203,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2455
CHEMBL3968222,CHEMBL203,C=CC(=O)N1CCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2C1,0.25
CHEMBL1243255,CHEMBL203,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CNC,0.25
CHEMBL3922120,CHEMBL203,C=CC(=O)N1CCCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2C1,0.25
CHEMBL3962133,CHEMBL203,C=CC(=O)N1CCc2c([nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn23)C1,0.25
CHEMBL3913116,CHEMBL203,C=CC(=O)N1CCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2CC1,0.25
