molecule_chembl_id,canonical_smiles,CHEMBL203,CHEMBL1957,CHEMBL2842,CHEMBL614725
CHEMBL1080901,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],0,0,0,0
CHEMBL1083150,CNc1ccc(Nc2nccc(-c3sc(C)nc3C)n2)cc1,0,0,0,1
CHEMBL1083151,COc1cc(Nc2nccc(-c3sc(C)nc3C)n2)cc(OC)c1OC,0,0,0,1
CHEMBL1083152,CNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,0,0,0,1
CHEMBL1083484,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3)n2)s1,0,0,0,1
CHEMBL1083785,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)n2)s1,0,0,0,1
CHEMBL1083786,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(C)nc4C)n3)cc2)CC1,0,0,0,1
CHEMBL1084454,Cc1nc(C)c(-c2ccnc(Nc3ccc(N)cc3)n2)s1,0,0,0,1
CHEMBL1084629,CNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0,0,0,1
CHEMBL1084630,CCNc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0,0,0,1
CHEMBL1084715,CCNc1nc(C)c(-c2ccnc(Nc3ccc(CNC(C)=O)cc3)n2)s1,0,0,0,1
CHEMBL1084969,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4C)n3)cc2)CC1,0,0,0,1
CHEMBL1085626,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0,0,0,1
CHEMBL1086088,CCNc1nc(C)c(-c2ccnc(Nc3cc(OC)c(OC)c(OC)c3)n2)s1,0,0,0,1
CHEMBL1086377,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,0,0,0,0
CHEMBL1086615,Cc1nc(-c2c[nH]c3ccccc23)co1,0,0,0,0
CHEMBL1086616,COc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1OC,0,0,0,0
CHEMBL1087018,c1ccc(Cc2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
CHEMBL1087019,Clc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
CHEMBL1087021,c1ccc2c(-c3cocn3)c[nH]c2c1,0,0,0,0
CHEMBL108793,CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\c1sc2ccccc2[n+]1CC.[I-],0,0,0,1
CHEMBL1088169,Oc1ccc(-c2nc(-c3c[nH]c4ccccc34)co2)cc1,0,0,0,0
CHEMBL1088170,C(=C/c1nc(-c2c[nH]c3ccccc23)co1)\c1ccccc1,0,0,0,0
CHEMBL1088181,Cn1cc(-c2coc(C3CCNCC3)n2)c2ccccc21,0,0,0,0
CHEMBL1088182,Cn1cc(-c2coc(-c3ccc(Cl)cc3)n2)c2ccccc21,0,0,0,0
CHEMBL1088315,COc1cc(-c2nc(-c3cn(C)c4ccccc34)co2)ccc1OCc1ccccc1,0,0,0,0
CHEMBL1088345,CC(C)(C)c1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,0,0,0,1
CHEMBL1088454,COc1cc(-c2nc(-c3c[nH]c4ccccc34)co2)ccc1O,0,0,0,0
CHEMBL1088734,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1)NO,0,0,0,1
CHEMBL1088735,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccc(O)cc3)nn2)c1)NO,0,0,0,1
CHEMBL1088741,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(=O)O)cn4)cc[nH]c3=O)nc12,0,0,0,0
CHEMBL1088931,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,0,0,0,0
CHEMBL1090350,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,0,0,0,0
CHEMBL1090351,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,0,0,0,0
CHEMBL1090583,COc1ccc(-c2[nH][nH]c(=O)c2-c2cc(OC)c(OC)c(OC)c2)cc1,0,0,0,1
CHEMBL1090771,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,0,0,0,0
CHEMBL1091474,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,0,0,0,1
CHEMBL1091483,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(N)=O)cn4)cc[nH]c3=O)nc12,0,0,0,0
CHEMBL1091613,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,0,0,0,0
CHEMBL1091644,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,0,1,0,0
CHEMBL1091815,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(F)cc(F)c3)nn2)c1)NO,0,0,0,1
CHEMBL1091820,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(=O)N(C)C)cn4)cc[nH]c3=O)nc12,0,0,0,0
CHEMBL109259,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,0,0,0,0
CHEMBL1092797,Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,0,0,0,1
CHEMBL1092981,COC(=O)NNC(=O)/C(=C/c1ccc2ccccc2c1)c1cc(OC)c(OC)c(OC)c1,0,0,0,1
CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,0,0,0,0
CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,0,0,0,0
CHEMBL1093234,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,0,0,0,0
CHEMBL1093235,O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,0,0,0,0
CHEMBL1093486,Nc1nc2ccc(-c3c(-c4cccc(NC(=O)c5ccccc5Cl)c4)nc4sccn34)cc2[nH]1,0,0,0,0
CHEMBL1093748,CNC(=O)c1cnn(CCNc2cc[nH]c(=O)c2-c2nc3c(C)cc(N4CCOCC4)cc3[nH]2)c1,0,0,0,0
CHEMBL1093815,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1Cl,0,0,0,0
CHEMBL1093860,COc1ccc(-c2[nH][nH]c(=O)c2-c2cc(OC)c(OC)c(OC)c2)cc1O,0,0,0,1
CHEMBL1093861,COc1ccc(-c2[nH][nH]c(=O)c2-c2cc(OC)c(OC)c(OC)c2)cc1F,0,0,0,1
CHEMBL1094408,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,0,0,0,1
CHEMBL1094475,C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,0,0,0,0
CHEMBL1094707,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(C3CCCCC3)nn2)c1)NO,0,0,0,1
CHEMBL1094708,Nc1ccc(-n2cc(-c3cccc(NC(=O)CCCCCCC(=O)NO)c3)nn2)cc1,0,0,0,1
CHEMBL1094709,O=C(CCCCCCC(=O)Nc1cccc(-n2cc(-c3ccccc3)nn2)c1)NO,0,0,0,1
CHEMBL1094710,O=C(CCCCCCC(=O)Nc1cccc(-n2cc(C3CCCCC3)nn2)c1)NO,0,0,0,1
CHEMBL1094782,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)ncnc3[nH]2)c1,0,0,0,0
CHEMBL1094783,Clc1ccc(Cc2cc3c(Nc4cccc(Br)c4)ncnc3[nH]2)c(Cl)c1,0,0,0,0
CHEMBL1094784,FC(F)(F)c1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,0,0,0,0
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0,0,0,1
CHEMBL1094808,Nc1nc(Nc2ccc(C(F)(F)F)c(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,0,0,0,0
CHEMBL1094981,CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,0,0,1,0
CHEMBL1095131,Nc1nc(Nc2cccc(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,0,0,0,0
CHEMBL1095259,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1,0,0,0,0
CHEMBL1095445,Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,0,0,0,0
CHEMBL1095463,CC(C)c1ccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)cc1,0,0,0,0
CHEMBL1095464,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,0,0,0,0
CHEMBL1095466,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)ncnc2[nH]1,0,0,0,0
CHEMBL1095626,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(N)cc4)nc32)CC1,0,0,1,0
CHEMBL1095627,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(N)cc4)nc32)CC1,0,0,1,0
CHEMBL1095762,Nc1nc(Nc2ccc(Br)cc2Cl)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,0,0,0,0
