molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value_nM
CHEMBL1289926,CHEMBL1955,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,0.1
CHEMBL3939307,CHEMBL1955,CNC(=O)c1ccccc1Sc1ccc2c(CCc3ccccn3)n[nH]c2c1,0.1
CHEMBL1940109,CHEMBL1955,COCCOc1cc2ncnc(Oc3cnn(CC(=O)Nc4cccc(OC)c4)c3)c2cc1OC,0.2
CHEMBL1289494,CHEMBL1955,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,0.24
CHEMBL1940108,CHEMBL1955,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,0.4
CHEMBL1668411,CHEMBL1955,COc1cc(O)c2c(c1)/C=C/C[C@@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,0.5
CHEMBL2012519,CHEMBL1955,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,0.73
CHEMBL1173411,CHEMBL1955,COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(C(=O)O)c2C)cc1,0.8
CHEMBL388978,CHEMBL1955,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.9
CHEMBL495727,CHEMBL1955,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,1.0
CHEMBL3891581,CHEMBL1955,CN1CCC(c2ccc(Nc3ncc(Cl)c(CCc4ccccc4C4(C(N)=O)CC4)n3)cn2)CC1,1.0
CHEMBL4453304,CHEMBL1955,COc1cc(O)c2c(c1)-c1cccc(c1)[C@@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,1.1
CHEMBL2180604,CHEMBL1955,Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1,1.1
CHEMBL4303275,CHEMBL1955,CCn1c(N)c(C(=O)NC)c(=O)c2ccc(C#C[C@@](C)(O)COC)nc21,1.2
CHEMBL2180602,CHEMBL1955,CCN(CC)CCNC(=O)c1c(C)[nH]c2c1CCC/C2=C1/C(=O)Nc2ccc(F)cc21,1.3
CHEMBL2332119,CHEMBL1955,NC(=O)C1=C(N)C(=O)C=C(Nc2ccccc2O)C1=O,1.8
CHEMBL3644873,CHEMBL1955,CCn1c(N)c(C(=O)NC)c(=O)c2ccc(C#CC(C)(O)c3ccsc3)nc21,2.0
CHEMBL429743,CHEMBL1955,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,2.0
CHEMBL3908239,CHEMBL1955,CC(NC(=O)OC(C)(C)C)c1ccc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cc1,2.0
CHEMBL522892,CHEMBL1955,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,2.512
CHEMBL1784637,CHEMBL1955,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,2.6
CHEMBL1230609,CHEMBL1955,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,2.8
CHEMBL502835,CHEMBL1955,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,3.0
CHEMBL525909,CHEMBL1955,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(CCCN(C)C)C(C)=O)cc1)c1ccccc1,3.0
CHEMBL3982717,CHEMBL1955,CN1CCC(n2cc(Nc3ncc(Cl)c(CCc4ccccc4C4(C(N)=O)CC4)n3)cn2)CC1,3.0
CHEMBL3959306,CHEMBL1955,NC(=O)C1(c2ccccc2CCc2nc(Nc3cn[nH]c3)ncc2Cl)CC1,3.0
CHEMBL491473,CHEMBL1955,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,3.0
CHEMBL3894588,CHEMBL1955,COCCn1cc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1,3.0
CHEMBL3981577,CHEMBL1955,Cn1cc(Nc2ncc(Cl)c(CCc3ccccc3C(C)(C)C(N)=O)n2)cn1,3.0
CHEMBL3898744,CHEMBL1955,Cn1cc(Nc2ncc(C(F)(F)F)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1,3.0
CHEMBL213504,CHEMBL1955,Nc1ncnc2snc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,3.0
CHEMBL1336,CHEMBL1955,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,3.0
CHEMBL390156,CHEMBL1955,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)CC1,3.0
CHEMBL2086760,CHEMBL1955,CCN1CCC(Nc2ccc3c(c2)C(=C(c2ccc(Cl)cc2)c2ncc[nH]2)C(=O)N3)CC1,3.2
CHEMBL223971,CHEMBL1955,COCCOCC#Cc1cc(-c2n[nH]c3c2Cc2ccc(Cn4cncn4)cc2-3)cs1,4.0
CHEMBL3918309,CHEMBL1955,Cn1cc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1,4.0
CHEMBL2079588,CHEMBL1955,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,4.0
