,molecule_chembl_id,canonical_smiles,CHEMBL203,CHEMBL1957,CHEMBL2842,CHEMBL614725
45,CHEMBL1088734,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)c1)NO,0,0,0,1
46,CHEMBL1088735,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccc(O)cc3)nn2)c1)NO,0,0,0,1
47,CHEMBL1088741,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(=O)O)cn4)cc[nH]c3=O)nc12,0,0,0,0
48,CHEMBL1088931,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,0,0,0,0
49,CHEMBL1090350,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,0,0,0,0
50,CHEMBL1090351,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,0,0,0,0
51,CHEMBL1090583,COc1ccc(-c2[nH][nH]c(=O)c2-c2cc(OC)c(OC)c(OC)c2)cc1,0,0,0,1
52,CHEMBL1090771,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,0,0,0,0
53,CHEMBL1091474,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccc(F)cc3)nn2)c1)NO,0,0,0,1
54,CHEMBL1091483,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(N)=O)cn4)cc[nH]c3=O)nc12,0,0,0,0
55,CHEMBL1091613,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,0,0,0,0
56,CHEMBL1091644,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,0,1,0,0
57,CHEMBL1091815,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(F)cc(F)c3)nn2)c1)NO,0,0,0,1
58,CHEMBL1091820,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C(=O)N(C)C)cn4)cc[nH]c3=O)nc12,0,0,0,0
59,CHEMBL109259,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,0,0,0,0
60,CHEMBL1092797,Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C,0,0,0,1
61,CHEMBL1092981,COC(=O)NNC(=O)/C(=C/c1ccc2ccccc2c1)c1cc(OC)c(OC)c(OC)c1,0,0,0,1
62,CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,0,0,0,0
63,CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,0,0,0,0
64,CHEMBL1093234,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,0,0,0,0
65,CHEMBL1093235,O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,0,0,0,0
66,CHEMBL1093486,Nc1nc2ccc(-c3c(-c4cccc(NC(=O)c5ccccc5Cl)c4)nc4sccn34)cc2[nH]1,0,0,0,0
